City,Brand,Model,Year,Body,Color,Engine,Engine Power,Fuel Type,Mileage,Gearbox,Transmission,Being new,Price
Bakı,Chevrolet,Cruze,2014,Sedan,Yaşıl,1.4 L,140 a.g.,Benzin,139 208 km,Avtomat,Ön,Xeyr,15 400
Sumqayıt,Kia,Cerato,2009,Sedan,Qara,1.6 L,132 a.g.,Benzin,232 000 km,Avtomat,Ön,Xeyr,16 500
Bakı,Saipa,Saina,2020,Sedan,Yaş Asfalt,1.5 L,80 a.g.,Benzin,100 000 km,Mexaniki,Ön,Xeyr,10 500
Qazax,BMW,X5,2005,Offroader / SUV,Qara,4.4 L,320 a.g.,Benzin,271 000 km,Avtomat,Tam,Xeyr,13 000
Qax,C.Moto,CMR-H8,2022,Motosiklet,Ağ,0.2 L,25 a.g.,Benzin,0 km,Avtomat,Arxa,Bəli,2 400
Sumqayıt,Nissan,Note,2011,Hetçbek / Liftbek,Yaş Asfalt,1.5 L,109 a.g.,Benzin,63 000 km,Avtomat,Ön,Xeyr,12 300
Bakı,Mercedes,E 230,1988,Sedan,Qızılı,2.3 L,132 a.g.,Benzin,500 000 km,Mexaniki,Arxa,Xeyr,4 000
Lənkəran,Toyota,C-HR,2022,Offroader / SUV,Qəhvəyi,2.0 L,148 a.g.,Benzin,0 km,Avtomat,Ön,Bəli,28 900
Bakı,LADA (VAZ),2109,1991,Hetçbek / Liftbek,Ağ,1.5 L,75 a.g.,Benzin,150 000 km,Mexaniki,Ön,Xeyr,3 700
Bakı,Mercedes,GLC 200 4Matic,2021,Offroader / SUV,Qara,2.0 L,197 a.g.,Benzin,0 km,Avtomat,Tam,Bəli,76 800
